sublibs,solution,bound,gap,time
1,-0.0,125.89466,NA,6.0
1,-0.0,115.85836,NA,6.0
1,-0.0,113.61975,NA,6.0
1,-0.0,113.04877,NA,6.0
1,-0.0,112.85794,NA,6.0
1,-0.0,112.85706,NA,6.0
1,-0.0,107.60985,NA,7.0
1,-0.0,107.405,NA,7.0
1,-0.0,107.37906,NA,7.0
1,6.0,107.37906,1690.0,7.0
1,6.0,106.18728,1670.0,7.0
1,6.0,106.18494,1670.0,7.0
1,16.0,106.18494,564.0,7.0
1,16.0,105.10198,557.0,7.0
1,16.0,104.52396,553.0,7.0
1,16.0,104.52396,553.0,7.0
1,20.0,104.52396,423.0,7.0
1,20.0,104.52396,423.0,8.0
1,25.0,101.63841,307.0,8.0
1,26.0,100.64832,287.0,9.0
1,26.0,89.68646,245.0,10.0
1,26.0,75.0616,189.0,15.0
1,27.0,69.92968,159.0,16.0
1,29.0,69.92968,141.0,16.0
1,30.0,59.90445,100.0,18.0
1,30.0,52.85432,76.2,20.0
1,32.0,50.17362,56.8,21.0
1,32.0,46.31381,44.7,26.0
1,32.0,43.94158,37.3,30.0
1,32.0,42.43269,32.6,37.0
1,32.0,41.64406,30.1,40.0
1,32.0,40.6085,26.9,45.0
1,32.0,39.7244,24.1,50.0
1,32.0,38.96557,21.8,55.0
1,32.0,38.35235,19.9,60.0
1,32.0,37.81248,18.2,65.0
1,32.0,37.32101,16.6,71.0
1,32.0,36.9601,15.5,75.0
1,32.0,36.67786,14.6,80.0
1,32.0,36.35603,13.6,85.0
1,32.0,36.05394,12.7,90.0
1,32.0,35.72648,11.6,95.0
1,32.0,35.37935,10.6,100.0
1,32.0,35.06099,9.57,105.0
1,32.0,34.16778,6.77,110.0
2,-0.0,131.0,NA,20.0
2,8.0,131.0,1538.0,20.0
2,12.0,131.0,992.0,22.0
2,14.0,131.0,836.0,22.0
2,18.0,131.0,628.0,23.0
2,18.0,131.0,628.0,23.0
2,18.0,131.0,628.0,23.0
2,20.0,131.0,555.0,24.0
2,21.0,131.0,524.0,24.0
2,23.0,131.0,470.0,24.0
2,24.0,131.0,446.0,26.0
2,25.0,131.0,424.0,26.0
2,28.0,131.0,368.0,26.0
2,28.0,131.0,368.0,26.0
2,29.0,131.0,352.0,26.0
2,29.0,131.0,352.0,26.0
2,30.0,131.0,337.0,29.0
2,30.0,131.0,337.0,29.0
2,30.0,131.0,337.0,30.0
2,35.0,131.0,274.0,30.0
2,35.0,131.0,274.0,32.0
2,35.0,130.78774,274.0,35.0
2,36.0,130.78774,263.0,35.0
2,38.0,130.78774,244.0,35.0
2,39.0,130.78774,235.0,35.0
2,40.0,130.78774,227.0,36.0
2,41.0,130.78774,219.0,50.0
2,42.0,130.78774,211.0,50.0
2,42.0,130.78774,211.0,55.0
2,42.0,130.78774,211.0,60.0
2,44.0,130.78774,197.0,64.0
2,44.0,130.78774,197.0,65.0
2,45.0,130.78774,191.0,68.0
2,45.0,130.78774,191.0,70.0
2,45.0,130.78774,191.0,93.0
2,45.0,130.78774,191.0,95.0
2,45.0,130.78774,191.0,100.0
2,45.0,130.78774,191.0,108.0
2,45.0,130.78774,191.0,110.0
2,45.0,130.78774,191.0,115.0
2,45.0,130.78774,191.0,125.0
2,45.0,130.78774,191.0,131.0
2,45.0,130.78774,191.0,164.0
2,47.0,130.78774,178.0,164.0
2,47.0,130.78774,178.0,166.0
2,47.0,130.78774,178.0,171.0
2,47.0,130.78774,178.0,175.0
2,47.0,130.78774,178.0,180.0
2,47.0,130.78774,178.0,187.0
2,47.0,130.78774,178.0,191.0
2,47.0,130.78774,178.0,209.0
2,47.0,130.78774,178.0,212.0
2,47.0,130.78774,178.0,215.0
2,47.0,130.78774,178.0,225.0
2,47.0,130.78774,178.0,236.0
2,47.0,130.78774,178.0,240.0
2,47.0,130.78774,178.0,248.0
2,47.0,130.78774,178.0,254.0
2,48.0,130.78774,172.0,254.0
2,48.0,130.78774,172.0,258.0
2,48.0,130.78774,172.0,280.0
2,48.0,130.78774,172.0,285.0
2,48.0,130.78774,172.0,294.0
2,48.0,130.78774,172.0,299.0
2,48.0,130.78774,172.0,304.0
2,48.0,130.78774,172.0,392.0
2,48.0,130.78774,172.0,398.0
2,48.0,130.78774,172.0,405.0
2,48.0,130.78774,172.0,411.0
2,48.0,130.78774,172.0,419.0
2,48.0,130.78774,172.0,618.0
2,48.0,130.78774,172.0,620.0
2,48.0,126.4354,163.0,628.0
2,48.0,102.61897,114.0,630.0
2,48.0,98.89601,106.0,637.0
2,48.0,98.81287,106.0,640.0
2,48.0,98.80506,106.0,646.0
2,48.0,98.80487,106.0,651.0
2,48.0,98.80233,106.0,656.0
2,48.0,98.79607,106.0,660.0
2,48.0,98.70569,106.0,665.0
2,48.0,98.66855,106.0,673.0
2,48.0,98.66012,106.0,677.0
2,48.0,98.65999,106.0,681.0
2,48.0,98.65989,106.0,687.0
2,48.0,98.65989,106.0,690.0
2,48.0,98.65589,106.0,696.0
2,48.0,98.63774,105.0,700.0
2,48.0,98.6323,105.0,706.0
2,48.0,98.63129,105.0,710.0
2,48.0,98.62523,105.0,717.0
2,48.0,98.62523,105.0,720.0
2,48.0,98.62523,105.0,726.0
2,48.0,98.62324,105.0,732.0
2,48.0,98.62304,105.0,736.0
2,48.0,98.62239,105.0,742.0
2,48.0,98.62175,105.0,745.0
2,48.0,98.61745,105.0,750.0
2,48.0,98.61703,105.0,758.0
2,48.0,98.61676,105.0,761.0
2,48.0,98.60873,105.0,765.0
2,48.0,98.60868,105.0,773.0
2,48.0,98.60868,105.0,776.0
2,48.0,98.60868,105.0,780.0
2,48.0,98.60868,105.0,785.0
2,48.0,98.60868,105.0,798.0
2,48.0,98.60868,105.0,801.0
2,48.0,98.60868,105.0,805.0
2,48.0,98.51522,105.0,814.0
2,48.0,98.50874,105.0,818.0
2,48.0,98.50751,105.0,823.0
2,48.0,98.50723,105.0,826.0
2,48.0,98.50277,105.0,831.0
2,48.0,98.49832,105.0,835.0
2,48.0,98.49094,105.0,840.0
2,48.0,98.49094,105.0,847.0
2,48.0,98.49051,105.0,852.0
2,48.0,98.48875,105.0,856.0
2,48.0,98.48783,105.0,860.0
2,48.0,98.48528,105.0,868.0
2,48.0,98.48528,105.0,871.0
2,48.0,98.48528,105.0,875.0
2,48.0,98.48528,105.0,880.0
2,48.0,98.48528,105.0,887.0
2,48.0,98.45536,105.0,907.0
2,48.0,97.98365,104.0,915.0
2,48.0,97.55585,103.0,924.0
2,48.0,97.21013,103.0,930.0
2,48.0,96.6562,101.0,943.0
2,48.0,96.39422,101.0,945.0
2,48.0,96.32046,101.0,951.0
2,48.0,93.11694,94.0,956.0
2,48.0,92.69791,93.1,960.0
2,48.0,92.69791,93.1,965.0
2,48.0,92.69791,93.1,970.0
2,48.0,92.69791,93.1,975.0
