task,lib_limit,sublibs,k,dc_kmers,sl_kmers,target_kmers,DCiSL,DCiT,SLiT,dc_kmers_all,sl_kmers_all,target_kmers_all,DCiT_all,SLiT_all
1xbi,320000000,4,2,4410,3029,1572,2779,1555,1411,12175,4454,7200,7182,6977
1xbi,320000000,4,3,90105,61318,8565,50245,8445,7864,243889,105788,16800,16678,16023
1xbi,320000000,4,4,1062974,764844,19658,539820,19309,18151,2974076,1516344,25200,24850,23653
gfp,100000,1,2,4970,4245,12511,3309,3892,3948,5064,4245,247032,214655,220612
gfp,100000,1,3,158968,126811,423205,87608,108413,112123,163280,126811,5846424,4760599,4946248
gfp,100000,1,4,3720240,2789280,9686745,1711820,2196642,2316770,3849024,2789280,102312420,78329491,82120501
gfp,100000,2,2,5933,4073,12511,3460,4794,4032,8926,7882,247032,222845,222158
gfp,100000,2,3,196917,119537,423205,93225,141701,115502,272241,227647,5846424,5034583,4997574
gfp,100000,2,4,4699232,2587608,9686745,1849057,3001207,2403737,6097784,4850886,102312420,84367609,83242250
gfp,1000000,1,2,5081,4616,12511,3891,4217,4116,5081,4616,247032,220484,224022
gfp,1000000,1,3,164902,143696,423205,111413,121021,118895,164902,143696,5846424,4955678,5061050
gfp,1000000,1,4,3924405,3292098,9686745,2350411,2511935,2492151,3924405,3292098,102312420,82626697,84663591
gfp,1000000,2,2,6800,4527,12511,4119,5319,4267,9871,8775,247032,225426,225278
gfp,1000000,2,3,237612,139804,423205,119900,161028,124518,315929,266864,5846424,5118998,5104496
gfp,1000000,2,4,5941750,3180606,9686745,2556557,3466847,2630033,7415626,5980032,102312420,86186992,85655926
gfp,10000000,1,2,5688,5098,12511,4513,4539,4437,5789,5193,247032,223205,227250
gfp,10000000,1,3,194886,166494,423205,138556,133611,131406,199867,170927,5846424,5044962,5170643
gfp,10000000,1,4,4889205,3997540,9686745,3125977,2831341,2808622,5049224,4133003,102312420,84557864,87114770
gfp,10000000,2,2,7880,5005,12511,4115,5836,4604,10873,9716,247032,227740,228287
gfp,10000000,2,3,289692,162253,423205,119588,179738,138057,365016,310373,5846424,5196943,5205993
gfp,10000000,2,4,7584773,3871115,9686745,2544585,3910268,2978528,8983325,7297870,102312420,87918198,87906860
gfp,100000000,1,2,6445,5809,12511,4988,4741,4685,6553,5911,247032,224236,229398
gfp,100000000,1,3,234769,201861,423205,160646,140507,141228,240458,206956,5846424,5079924,5244078
gfp,100000000,1,4,6254908,5146455,9686745,3796667,2989201,3058926,6449854,5312651,102312420,85337777,88766039
gfp,100000000,2,2,8656,5805,12511,4997,6164,4933,11726,11292,247032,230557,230430
gfp,100000000,2,3,331193,201493,423205,157780,192661,150833,409433,386525,5846424,5292477,5279146
gfp,100000000,2,4,9018781,5129899,9686745,3627255,4238313,3296233,10489741,9704702,102312420,90050047,89550470
gfp,1000000000,1,2,7472,6454,12511,5273,5205,5100,7589,6562,247032,225297,231516
gfp,1000000000,1,3,291854,235786,423205,173900,157707,157465,298507,241484,5846424,5114834,5315489
gfp,1000000000,1,4,8316333,6310681,9686745,4199081,3400704,3464934,8561616,6506581,102312420,86097207,90349851
gfp,1000000000,2,2,9651,6669,12511,5395,6461,5241,13367,12996,247032,231176,232191
gfp,1000000000,2,3,392897,247069,423205,176582,203460,162304,497145,475157,5846424,5313542,5338020
gfp,1000000000,2,4,11375739,6696267,9686745,4195415,4494891,3572780,13544365,12708270,102312420,90522829,90845510
